model,task,task_name,few_shot,seed,accuracy,macro_f1,weighted_f1,precision_per_class,recall_per_class,f1_per_class,train_time_s,inference_time_s,timestamp,notes
paper1_gnn,task2,Humanitarian,500,789,0.652338,0.616774,0.640835,[],[],[],109.00,4.25,2026-03-04T00:29:45.590358,simulated
paper1_gnn,task2,Humanitarian,500,1024,0.658990,0.628081,0.657517,[],[],[],206.23,13.18,2026-03-04T00:29:45.590358,simulated
paper1_gnn,task3,Damage Severity,50,42,0.490170,0.461625,0.472362,[],[],[],154.15,10.88,2026-03-04T00:29:45.591861,simulated
paper1_gnn,task3,Damage Severity,50,123,0.537757,0.499470,0.519523,[],[],[],154.20,8.13,2026-03-04T00:29:45.591861,simulated
paper1_gnn,task3,Damage Severity,50,456,0.520500,0.496153,0.515942,[],[],[],175.96,8.73,2026-03-04T00:29:45.592864,simulated
paper1_gnn,task3,Damage Severity,50,789,0.555600,0.506031,0.520872,[],[],[],168.40,2.59,2026-03-04T00:29:45.593367,simulated
paper1_gnn,task3,Damage Severity,50,1024,0.549986,0.522856,0.547421,[],[],[],238.86,8.06,2026-03-04T00:29:45.593367,simulated
paper1_gnn,task3,Damage Severity,100,42,0.596072,0.565039,0.587685,[],[],[],294.47,7.56,2026-03-04T00:29:45.594370,simulated
paper1_gnn,task3,Damage Severity,100,123,0.584446,0.561737,0.588443,[],[],[],297.29,4.77,2026-03-04T00:29:45.594912,simulated
paper1_gnn,task3,Damage Severity,100,456,0.623433,0.593809,0.607539,[],[],[],210.78,12.69,2026-03-04T00:29:45.595436,simulated
paper1_gnn,task3,Damage Severity,100,789,0.592320,0.551993,0.562325,[],[],[],162.07,6.95,2026-03-04T00:29:45.595436,simulated
paper1_gnn,task3,Damage Severity,100,1024,0.575293,0.539930,0.554460,[],[],[],81.13,9.49,2026-03-04T00:29:45.596439,simulated
paper1_gnn,task3,Damage Severity,250,42,0.619482,0.578754,0.596489,[],[],[],207.32,3.10,2026-03-04T00:29:45.596439,simulated
paper1_gnn,task3,Damage Severity,250,123,0.657574,0.609472,0.622222,[],[],[],115.58,12.14,2026-03-04T00:29:45.596439,simulated
paper1_gnn,task3,Damage Severity,250,456,0.632076,0.584335,0.611882,[],[],[],261.58,7.80,2026-03-04T00:29:45.597439,simulated
paper1_gnn,task3,Damage Severity,250,789,0.621297,0.593559,0.616758,[],[],[],219.99,12.89,2026-03-04T00:29:45.597942,simulated
paper1_gnn,task3,Damage Severity,250,1024,0.640439,0.604549,0.619386,[],[],[],203.43,5.45,2026-03-04T00:29:45.598944,simulated
paper1_gnn,task3,Damage Severity,500,42,0.698936,0.676143,0.704087,[],[],[],211.02,11.74,2026-03-04T00:29:45.598944,simulated
paper1_gnn,task3,Damage Severity,500,123,0.685369,0.655198,0.672182,[],[],[],127.89,10.12,2026-03-04T00:29:45.599947,simulated
paper1_gnn,task3,Damage Severity,500,456,0.707415,0.665636,0.693579,[],[],[],245.71,13.53,2026-03-04T00:29:45.599947,simulated
paper1_gnn,task3,Damage Severity,500,789,0.694271,0.655010,0.666693,[],[],[],262.04,10.17,2026-03-04T00:29:45.600947,simulated
paper1_gnn,task3,Damage Severity,500,1024,0.681778,0.656929,0.684900,[],[],[],139.22,12.96,2026-03-04T00:29:45.601450,simulated
paper2_diffattn,task1,Informativeness,50,42,0.766013,0.745861,0.759078,[],[],[],180.09,8.18,2026-03-04T00:29:45.601952,simulated
paper2_diffattn,task1,Informativeness,50,123,0.762175,0.725713,0.749551,[],[],[],130.43,5.64,2026-03-04T00:29:45.602460,simulated
paper2_diffattn,task1,Informativeness,50,456,0.757539,0.716174,0.730919,[],[],[],246.14,9.80,2026-03-04T00:29:45.603007,simulated
paper2_diffattn,task1,Informativeness,50,789,0.782893,0.753131,0.778061,[],[],[],230.78,7.66,2026-03-04T00:29:45.603463,simulated
paper2_diffattn,task1,Informativeness,50,1024,0.798996,0.759268,0.780634,[],[],[],163.11,8.43,2026-03-04T00:29:45.603463,simulated
paper2_diffattn,task1,Informativeness,100,42,0.811066,0.788256,0.805610,[],[],[],98.64,10.46,2026-03-04T00:29:45.604463,simulated
paper2_diffattn,task1,Informativeness,100,123,0.811400,0.762210,0.780072,[],[],[],228.90,6.76,2026-03-04T00:29:45.604965,simulated
paper2_diffattn,task1,Informativeness,100,456,0.810445,0.763684,0.786307,[],[],[],256.22,12.17,2026-03-04T00:29:45.604965,simulated
paper2_diffattn,task1,Informativeness,100,789,0.817567,0.780260,0.800110,[],[],[],191.38,11.67,2026-03-04T00:29:45.605968,simulated
paper2_diffattn,task1,Informativeness,100,1024,0.834928,0.809071,0.833520,[],[],[],132.69,6.98,2026-03-04T00:29:45.605968,simulated
paper2_diffattn,task1,Informativeness,250,42,0.846796,0.798582,0.827661,[],[],[],74.20,4.44,2026-03-04T00:29:45.605968,simulated
paper2_diffattn,task1,Informativeness,250,123,0.877095,0.829649,0.847053,[],[],[],153.56,4.49,2026-03-04T00:29:45.607471,simulated
paper2_diffattn,task1,Informativeness,250,456,0.878373,0.829465,0.856525,[],[],[],124.63,6.75,2026-03-04T00:29:45.607471,simulated
paper2_diffattn,task1,Informativeness,250,789,0.847377,0.818543,0.836245,[],[],[],143.39,10.57,2026-03-04T00:29:45.608475,simulated
paper2_diffattn,task1,Informativeness,250,1024,0.836154,0.811070,0.832206,[],[],[],127.27,14.55,2026-03-04T00:29:45.608475,simulated
paper2_diffattn,task1,Informativeness,500,42,0.915213,0.867128,0.891049,[],[],[],272.92,3.07,2026-03-04T00:29:45.609475,simulated
paper2_diffattn,task1,Informativeness,500,123,0.870773,0.832323,0.862124,[],[],[],259.06,7.73,2026-03-04T00:29:45.610019,simulated
paper2_diffattn,task1,Informativeness,500,456,0.877277,0.853075,0.873441,[],[],[],108.08,3.71,2026-03-04T00:29:45.610019,simulated
paper2_diffattn,task1,Informativeness,500,789,0.898066,0.857156,0.881205,[],[],[],285.42,6.40,2026-03-04T00:29:45.611022,simulated
paper2_diffattn,task1,Informativeness,500,1024,0.892000,0.861216,0.877088,[],[],[],96.71,7.76,2026-03-04T00:29:45.611022,simulated
paper2_diffattn,task2,Humanitarian,50,42,0.526313,0.480301,0.508566,[],[],[],97.41,10.19,2026-03-04T00:29:45.612022,simulated
paper2_diffattn,task2,Humanitarian,50,123,0.515616,0.480276,0.500306,[],[],[],271.34,2.01,2026-03-04T00:29:45.612525,simulated
paper2_diffattn,task2,Humanitarian,50,456,0.522477,0.481418,0.507334,[],[],[],269.60,14.26,2026-03-04T00:29:45.613528,simulated
paper2_diffattn,task2,Humanitarian,50,789,0.539411,0.492711,0.509471,[],[],[],130.83,13.28,2026-03-04T00:29:45.613528,simulated
paper2_diffattn,task2,Humanitarian,50,1024,0.491892,0.454543,0.465262,[],[],[],111.86,2.23,2026-03-04T00:29:45.614528,simulated
paper2_diffattn,task2,Humanitarian,100,42,0.559232,0.525264,0.546117,[],[],[],224.13,13.90,2026-03-04T00:29:45.614528,simulated
paper2_diffattn,task2,Humanitarian,100,123,0.564640,0.543725,0.554472,[],[],[],298.66,7.00,2026-03-04T00:29:45.614528,simulated
paper2_diffattn,task2,Humanitarian,100,456,0.542424,0.497746,0.514949,[],[],[],270.65,7.88,2026-03-04T00:29:45.616030,simulated
paper2_diffattn,task2,Humanitarian,100,789,0.574385,0.531286,0.545602,[],[],[],157.19,13.06,2026-03-04T00:29:45.616030,simulated
paper2_diffattn,task2,Humanitarian,100,1024,0.547132,0.508445,0.520152,[],[],[],280.61,4.00,2026-03-04T00:29:45.617034,simulated
paper2_diffattn,task2,Humanitarian,250,42,0.627130,0.590911,0.613660,[],[],[],117.73,10.00,2026-03-04T00:29:45.617034,simulated
paper2_diffattn,task2,Humanitarian,250,123,0.618751,0.576968,0.606485,[],[],[],233.96,12.70,2026-03-04T00:29:45.618034,simulated
paper2_diffattn,task2,Humanitarian,250,456,0.593353,0.549497,0.564914,[],[],[],242.34,3.44,2026-03-04T00:29:45.618034,simulated
paper2_diffattn,task2,Humanitarian,250,789,0.626898,0.593729,0.605298,[],[],[],176.93,8.38,2026-03-04T00:29:45.618034,simulated
paper2_diffattn,task2,Humanitarian,250,1024,0.632368,0.600100,0.613566,[],[],[],138.42,14.36,2026-03-04T00:29:45.619033,simulated
paper2_diffattn,task2,Humanitarian,500,42,0.672008,0.647315,0.662320,[],[],[],273.89,13.54,2026-03-04T00:29:45.619033,simulated
paper2_diffattn,task2,Humanitarian,500,123,0.705115,0.665309,0.680908,[],[],[],99.89,12.56,2026-03-04T00:29:45.620035,simulated
paper2_diffattn,task2,Humanitarian,500,456,0.686746,0.638100,0.662858,[],[],[],242.19,5.44,2026-03-04T00:29:45.620035,simulated
paper2_diffattn,task2,Humanitarian,500,789,0.705031,0.672443,0.687398,[],[],[],98.93,4.60,2026-03-04T00:29:45.620035,simulated
paper2_diffattn,task2,Humanitarian,500,1024,0.681328,0.650649,0.675806,[],[],[],276.55,2.71,2026-03-04T00:29:45.620035,simulated
paper2_diffattn,task3,Damage Severity,50,42,0.523102,0.488876,0.500833,[],[],[],117.60,2.79,2026-03-04T00:29:45.621542,simulated
paper2_diffattn,task3,Damage Severity,50,123,0.530241,0.495493,0.514962,[],[],[],159.12,10.37,2026-03-04T00:29:45.621542,simulated
paper2_diffattn,task3,Damage Severity,50,456,0.506904,0.474949,0.497266,[],[],[],288.07,13.78,2026-03-04T00:29:45.622552,simulated
paper2_diffattn,task3,Damage Severity,50,789,0.494097,0.455044,0.465950,[],[],[],149.83,10.06,2026-03-04T00:29:45.623174,simulated
paper2_diffattn,task3,Damage Severity,50,1024,0.543920,0.508825,0.535955,[],[],[],157.45,2.29,2026-03-04T00:29:45.623174,simulated
paper2_diffattn,task3,Damage Severity,100,42,0.551044,0.511283,0.524541,[],[],[],146.84,14.20,2026-03-04T00:29:45.624264,simulated
paper2_diffattn,task3,Damage Severity,100,123,0.564777,0.543981,0.565697,[],[],[],179.55,2.89,2026-03-04T00:29:45.624264,simulated
paper2_diffattn,task3,Damage Severity,100,456,0.576203,0.527996,0.549505,[],[],[],107.42,4.39,2026-03-04T00:29:45.624264,simulated
paper2_diffattn,task3,Damage Severity,100,789,0.605468,0.571720,0.592633,[],[],[],153.13,9.21,2026-03-04T00:29:45.625772,simulated
paper2_diffattn,task3,Damage Severity,100,1024,0.563488,0.515244,0.532966,[],[],[],208.44,8.00,2026-03-04T00:29:45.626348,simulated
paper2_diffattn,task3,Damage Severity,250,42,0.627755,0.605620,0.621999,[],[],[],259.84,9.05,2026-03-04T00:29:45.626889,simulated
paper2_diffattn,task3,Damage Severity,250,123,0.632892,0.587546,0.598011,[],[],[],279.90,7.28,2026-03-04T00:29:45.626889,simulated
paper2_diffattn,task3,Damage Severity,250,456,0.611758,0.588213,0.612147,[],[],[],229.01,13.88,2026-03-04T00:29:45.627899,simulated
paper2_diffattn,task3,Damage Severity,250,789,0.655860,0.616992,0.644541,[],[],[],285.30,4.96,2026-03-04T00:29:45.627899,simulated
paper2_diffattn,task3,Damage Severity,250,1024,0.644718,0.616257,0.629806,[],[],[],149.89,3.20,2026-03-04T00:29:45.628899,simulated
paper2_diffattn,task3,Damage Severity,500,42,0.695111,0.652593,0.678729,[],[],[],135.68,2.44,2026-03-04T00:29:45.628899,simulated
paper2_diffattn,task3,Damage Severity,500,123,0.670743,0.639582,0.665110,[],[],[],219.01,11.76,2026-03-04T00:29:45.630004,simulated
paper2_diffattn,task3,Damage Severity,500,456,0.672571,0.642347,0.670962,[],[],[],284.13,13.26,2026-03-04T00:29:45.630004,simulated
paper2_diffattn,task3,Damage Severity,500,789,0.678173,0.635646,0.660737,[],[],[],212.60,12.32,2026-03-04T00:29:45.630998,simulated
paper2_diffattn,task3,Damage Severity,500,1024,0.685069,0.661976,0.690027,[],[],[],224.78,12.65,2026-03-04T00:29:45.631997,simulated
geda,task1,Informativeness,50,42,0.825711,0.796110,0.824020,[],[],[],197.92,4.04,2026-03-04T00:29:45.633023,simulated
geda,task1,Informativeness,50,123,0.802096,0.770420,0.780637,[],[],[],246.17,10.84,2026-03-04T00:29:45.633023,simulated
geda,task1,Informativeness,50,456,0.825002,0.776483,0.797952,[],[],[],143.67,2.12,2026-03-04T00:29:45.634032,simulated
geda,task1,Informativeness,50,789,0.806352,0.767397,0.786366,[],[],[],156.79,4.35,2026-03-04T00:29:45.634032,simulated
geda,task1,Informativeness,50,1024,0.790055,0.749880,0.774927,[],[],[],142.35,4.97,2026-03-04T00:29:45.635030,simulated
geda,task1,Informativeness,100,42,0.829464,0.785716,0.811509,[],[],[],158.79,8.50,2026-03-04T00:29:45.635030,simulated
geda,task1,Informativeness,100,123,0.831482,0.809755,0.830746,[],[],[],142.24,4.00,2026-03-04T00:29:45.636029,simulated
geda,task1,Informativeness,100,456,0.825301,0.792055,0.819809,[],[],[],205.00,11.98,2026-03-04T00:29:45.636029,simulated
geda,task1,Informativeness,100,789,0.817780,0.793490,0.818720,[],[],[],172.58,5.38,2026-03-04T00:29:45.637031,simulated
geda,task1,Informativeness,100,1024,0.842119,0.803572,0.815595,[],[],[],130.33,11.31,2026-03-04T00:29:45.637031,simulated
geda,task1,Informativeness,250,42,0.877082,0.854899,0.881337,[],[],[],155.97,14.29,2026-03-04T00:29:45.637031,simulated
geda,task1,Informativeness,250,123,0.881048,0.839861,0.851488,[],[],[],256.04,11.33,2026-03-04T00:29:45.638539,simulated
geda,task1,Informativeness,250,456,0.865422,0.821038,0.849983,[],[],[],236.72,8.63,2026-03-04T00:29:45.638539,simulated
geda,task1,Informativeness,250,789,0.871431,0.821851,0.846918,[],[],[],209.77,12.13,2026-03-04T00:29:45.638539,simulated
geda,task1,Informativeness,250,1024,0.878946,0.835631,0.856799,[],[],[],180.47,7.44,2026-03-04T00:29:45.641547,simulated
geda,task1,Informativeness,500,42,0.908458,0.875731,0.903858,[],[],[],242.38,12.43,2026-03-04T00:29:45.642634,simulated
geda,task1,Informativeness,500,123,0.899960,0.879620,0.898993,[],[],[],198.81,14.29,2026-03-04T00:29:45.643291,simulated
geda,task1,Informativeness,500,456,0.881639,0.859949,0.872326,[],[],[],107.48,14.73,2026-03-04T00:29:45.643796,simulated
geda,task1,Informativeness,500,789,0.928836,0.886454,0.908122,[],[],[],172.56,3.29,2026-03-04T00:29:45.644299,simulated
geda,task1,Informativeness,500,1024,0.912321,0.863455,0.880953,[],[],[],97.05,3.65,2026-03-04T00:29:45.644858,simulated
geda,task2,Humanitarian,50,42,0.560511,0.533803,0.563067,[],[],[],252.69,13.94,2026-03-04T00:29:45.644858,simulated
geda,task2,Humanitarian,50,123,0.532340,0.511976,0.541373,[],[],[],286.88,10.66,2026-03-04T00:29:45.645862,simulated
geda,task2,Humanitarian,50,456,0.546696,0.524482,0.545559,[],[],[],77.72,3.15,2026-03-04T00:29:45.645862,simulated
geda,task2,Humanitarian,50,789,0.569331,0.520252,0.540714,[],[],[],84.00,7.10,2026-03-04T00:29:45.647371,simulated
geda,task2,Humanitarian,50,1024,0.582659,0.549023,0.571574,[],[],[],80.00,5.02,2026-03-04T00:29:45.647371,simulated
geda,task2,Humanitarian,100,42,0.636715,0.599185,0.627209,[],[],[],147.14,7.98,2026-03-04T00:29:45.647371,simulated
geda,task2,Humanitarian,100,123,0.652117,0.623796,0.637558,[],[],[],236.48,7.31,2026-03-04T00:29:45.648483,simulated
geda,task2,Humanitarian,100,456,0.597745,0.563834,0.580901,[],[],[],127.63,3.81,2026-03-04T00:29:45.649377,simulated
geda,task2,Humanitarian,100,789,0.614049,0.564817,0.594542,[],[],[],173.65,6.33,2026-03-04T00:29:45.649377,simulated
geda,task2,Humanitarian,100,1024,0.623953,0.583008,0.603730,[],[],[],292.87,14.88,2026-03-04T00:29:45.649377,simulated
geda,task2,Humanitarian,250,42,0.699550,0.659008,0.672261,[],[],[],130.72,13.62,2026-03-04T00:29:45.650376,simulated
geda,task2,Humanitarian,250,123,0.675790,0.628462,0.654913,[],[],[],109.78,3.89,2026-03-04T00:29:45.650376,simulated
geda,task2,Humanitarian,250,456,0.661577,0.613595,0.640917,[],[],[],186.35,6.43,2026-03-04T00:29:45.651384,simulated
geda,task2,Humanitarian,250,789,0.697986,0.676629,0.687157,[],[],[],117.97,11.23,2026-03-04T00:29:45.651890,simulated
geda,task2,Humanitarian,250,1024,0.713207,0.663589,0.676597,[],[],[],145.06,2.28,2026-03-04T00:29:45.652416,simulated
geda,task2,Humanitarian,500,42,0.708440,0.670616,0.688234,[],[],[],164.71,10.46,2026-03-04T00:29:45.652416,simulated
geda,task2,Humanitarian,500,123,0.710154,0.677709,0.693177,[],[],[],278.50,2.07,2026-03-04T00:29:45.653423,simulated
geda,task2,Humanitarian,500,456,0.726448,0.704756,0.732051,[],[],[],72.70,2.94,2026-03-04T00:29:45.653423,simulated
geda,task2,Humanitarian,500,789,0.723174,0.680105,0.709000,[],[],[],71.30,3.22,2026-03-04T00:29:45.653423,simulated
geda,task2,Humanitarian,500,1024,0.726429,0.680940,0.695887,[],[],[],214.66,13.33,2026-03-04T00:29:45.654931,simulated
geda,task3,Damage Severity,50,42,0.577269,0.528648,0.550771,[],[],[],247.49,14.54,2026-03-04T00:29:45.655941,simulated
geda,task3,Damage Severity,50,123,0.574012,0.547152,0.570586,[],[],[],176.69,9.44,2026-03-04T00:29:45.655941,simulated
geda,task3,Damage Severity,50,456,0.542724,0.519318,0.542749,[],[],[],237.20,7.39,2026-03-04T00:29:45.655941,simulated
geda,task3,Damage Severity,50,789,0.611163,0.575554,0.601000,[],[],[],168.74,2.47,2026-03-04T00:29:45.657448,simulated
geda,task3,Damage Severity,50,1024,0.610143,0.573586,0.594805,[],[],[],165.50,5.77,2026-03-04T00:29:45.658061,simulated
geda,task3,Damage Severity,100,42,0.647650,0.601350,0.619420,[],[],[],204.62,2.73,2026-03-04T00:29:45.658061,simulated
geda,task3,Damage Severity,100,123,0.654030,0.612908,0.627167,[],[],[],201.14,7.59,2026-03-04T00:29:45.659070,simulated
geda,task3,Damage Severity,100,456,0.651464,0.627373,0.637664,[],[],[],285.65,6.17,2026-03-04T00:29:45.660067,simulated
geda,task3,Damage Severity,100,789,0.652936,0.621168,0.639918,[],[],[],71.38,14.57,2026-03-04T00:29:45.660067,simulated
geda,task3,Damage Severity,100,1024,0.611950,0.564825,0.581790,[],[],[],143.92,9.04,2026-03-04T00:29:45.660067,simulated
geda,task3,Damage Severity,250,42,0.721943,0.690047,0.712489,[],[],[],145.29,14.16,2026-03-04T00:29:45.661573,simulated
geda,task3,Damage Severity,250,123,0.707353,0.661482,0.690472,[],[],[],86.24,2.24,2026-03-04T00:29:45.661573,simulated
geda,task3,Damage Severity,250,456,0.659706,0.625932,0.655533,[],[],[],114.61,10.47,2026-03-04T00:29:45.662600,simulated
geda,task3,Damage Severity,250,789,0.693668,0.658889,0.675464,[],[],[],212.17,14.00,2026-03-04T00:29:45.663111,simulated
geda,task3,Damage Severity,250,1024,0.656187,0.633911,0.646488,[],[],[],218.19,7.63,2026-03-04T00:29:45.663632,simulated
geda,task3,Damage Severity,500,42,0.737235,0.713393,0.726432,[],[],[],86.48,8.45,2026-03-04T00:29:45.663632,simulated
geda,task3,Damage Severity,500,123,0.732788,0.707332,0.724245,[],[],[],240.43,9.20,2026-03-04T00:29:45.664643,simulated
geda,task3,Damage Severity,500,456,0.728106,0.681202,0.700682,[],[],[],246.91,7.02,2026-03-04T00:29:45.664643,simulated
geda,task3,Damage Severity,500,789,0.706054,0.680285,0.691103,[],[],[],229.68,13.90,2026-03-04T00:29:45.664643,simulated
geda,task3,Damage Severity,500,1024,0.735149,0.710081,0.725653,[],[],[],154.40,2.67,2026-03-04T00:29:45.666152,simulated
